rodzaj-testu;n;f(x);ilosc oligonuklotydow;procentowo
testy\neg-los\25.500-200;509;366;285;95
testy\neg-los\25.500-200;509;363;286;95
testy\neg-los\25.500-200;509;356;286;95
testy\neg-los\25.500-200;509;356;286;95
testy\neg-los\25.500-200;509;356;286;95
testy\neg-los\25.500-200;509;356;286;95
testy\neg-los\25.500-200;509;356;286;95
testy\neg-los\25.500-200;509;356;286;95
testy\neg-los\35.200-40;209;83;152;95
testy\neg-los\35.200-40;209;83;153;95
testy\neg-los\35.200-40;209;81;155;96
testy\neg-los\35.200-40;209;81;155;96
testy\neg-los\35.200-40;209;81;155;96
testy\neg-los\35.200-40;209;81;155;96
testy\neg-los\35.200-40;209;81;155;96
testy\neg-los\35.200-40;209;81;155;96
testy\neg-los\35.200-40;209;81;155;96
testy\neg-los\35.200-40;209;81;155;96
testy\neg-los\35.200-80;209;159;109;90
testy\neg-los\35.200-80;209;163;110;91
testy\neg-los\35.200-80;209;151;113;94
testy\neg-los\35.200-80;209;149;112;93
testy\neg-los\35.200-80;209;149;112;93
testy\neg-los\35.200-80;209;149;112;93
testy\neg-los\35.200-80;209;149;112;93
testy\neg-los\35.200-80;209;149;112;93
testy\neg-los\35.200-80;209;149;112;93
testy\neg-los\35.200-80;209;149;112;93
testy\neg-los\53.500-100;509;290;360;90
testy\neg-los\53.500-100;509;290;360;90
testy\neg-los\53.500-100;509;247;363;90
testy\neg-los\53.500-100;509;236;363;90
testy\neg-los\53.500-100;509;236;363;90
testy\neg-los\53.500-100;509;236;363;90
testy\neg-los\53.500-100;509;236;363;90
testy\neg-los\53.500-100;509;236;363;90
testy\neg-los\53.500-100;509;236;363;90
testy\neg-los\53.500-100;509;236;363;90
testy\neg-los\53.500-200;509;378;281;93
testy\neg-los\53.500-200;509;378;281;93
testy\neg-los\53.500-200;509;362;283;94
testy\neg-los\53.500-200;509;347;285;95
testy\neg-los\53.500-200;509;345;285;95
testy\neg-los\53.500-200;509;345;285;95
testy\neg-los\53.500-200;509;345;285;95
testy\neg-los\53.500-200;509;345;285;95
testy\neg-los\53.500-200;509;345;285;95
testy\neg-los\53.500-200;509;345;285;95
testy\neg-los\55.300-120;309;238;168;93
testy\neg-los\55.300-120;309;222;170;94
testy\neg-los\55.300-120;309;217;172;95
testy\neg-los\55.300-120;309;217;172;95
testy\neg-los\55.300-120;309;217;172;95
testy\neg-los\55.300-120;309;217;172;95
testy\neg-los\55.300-120;309;217;172;95
testy\neg-los\55.300-120;309;217;172;95
testy\neg-los\55.300-120;309;217;172;95
testy\neg-los\55.300-120;309;217;172;95
testy\neg-los\55.300-60;309;160;216;90
testy\neg-los\55.300-60;309;160;216;90
testy\neg-los\55.300-60;309;152;218;90
testy\neg-los\55.300-60;309;152;218;90
testy\neg-los\55.300-60;309;152;218;90
testy\neg-los\55.300-60;309;152;216;90
testy\neg-los\55.300-60;309;152;216;90
testy\neg-los\55.300-60;309;152;216;90
testy\neg-los\55.300-60;309;152;216;90
testy\neg-los\55.300-60;309;152;216;90
testy\neg-los\55.400-160;409;395;206;85
testy\neg-los\55.400-160;409;385;201;83
testy\neg-los\55.400-160;409;351;210;87
testy\neg-los\55.400-160;409;335;213;88
testy\neg-los\55.400-160;409;326;214;89
testy\neg-los\55.400-160;409;326;214;89
testy\neg-los\55.400-160;409;326;214;89
testy\neg-los\55.400-160;409;326;214;89
testy\neg-los\55.400-160;409;326;214;89
testy\neg-los\55.400-160;409;326;214;89
testy\neg-los\55.400-80;409;223;284;88
testy\neg-los\55.400-80;409;213;286;89
testy\neg-los\55.400-80;409;180;297;92
testy\neg-los\55.400-80;409;169;298;93
testy\neg-los\55.400-80;409;169;298;93
testy\neg-los\55.400-80;409;169;298;93
testy\neg-los\55.400-80;409;169;298;93
testy\neg-los\55.400-80;409;169;298;93
testy\neg-los\55.400-80;409;169;298;93
testy\neg-los\55.400-80;409;169;298;93
testy\neg-los\58.300-120;309;247;166;92
testy\neg-los\58.300-120;309;248;166;92
testy\neg-los\58.300-120;309;235;166;92
testy\neg-los\58.300-120;309;235;166;92
testy\neg-los\58.300-120;309;235;166;92
testy\neg-los\58.300-120;309;235;166;92
testy\neg-los\58.300-120;309;235;166;92
testy\neg-los\58.300-120;309;235;166;92
testy\neg-los\58.300-120;309;235;166;92
testy\neg-los\58.300-120;309;235;166;92
testy\neg-los\58.300-60;309;169;219;91
testy\neg-los\58.300-60;309;168;220;91
testy\neg-los\58.300-60;309;163;220;91
testy\neg-los\58.300-60;309;147;219;91
testy\neg-los\58.300-60;309;147;219;91
testy\neg-los\58.300-60;309;147;219;91
testy\neg-los\58.300-60;309;147;219;91
testy\neg-los\58.300-60;309;147;219;91
testy\neg-los\58.300-60;309;147;219;91
testy\neg-los\58.300-60;309;147;219;91
testy\neg-los\62.400-160;409;312;224;93
testy\neg-los\62.400-160;409;312;224;93
testy\neg-los\62.400-160;409;287;226;94
testy\neg-los\62.400-160;409;287;227;94
testy\neg-los\62.400-160;409;287;227;94
testy\neg-los\62.400-160;409;287;226;94
testy\neg-los\62.400-160;409;287;226;94
testy\neg-los\62.400-160;409;287;226;94
testy\neg-los\62.400-160;409;287;226;94
testy\neg-los\62.400-160;409;287;226;94
testy\neg-los\62.400-80;409;168;307;95
testy\neg-los\62.400-80;409;168;307;95
testy\neg-los\62.400-80;409;168;307;95
testy\neg-los\62.400-80;409;161;305;95
testy\neg-los\62.400-80;409;161;305;95
testy\neg-los\62.400-80;409;161;305;95
testy\neg-los\62.400-80;409;161;305;95
testy\neg-los\62.400-80;409;161;305;95
testy\neg-los\62.400-80;409;161;305;95
testy\neg-los\62.400-80;409;161;305;95
testy\neg-los\68.400-160;409;320;221;92
testy\neg-los\68.400-160;409;317;223;92
testy\neg-los\68.400-160;409;272;233;97
testy\neg-los\68.400-160;409;258;235;97
testy\neg-los\68.400-160;409;257;236;98
testy\neg-los\68.400-160;409;257;236;98
testy\neg-los\68.400-160;409;257;236;98
testy\neg-los\68.400-160;409;257;236;98
testy\neg-los\68.400-160;409;257;236;98
testy\neg-los\68.400-160;409;257;236;98
testy\neg-los\68.400-80;409;170;302;94
testy\neg-los\68.400-80;409;185;304;95
testy\neg-los\68.400-80;409;162;307;95
testy\neg-los\68.400-80;409;162;307;95
testy\neg-los\68.400-80;409;162;307;95
testy\neg-los\68.400-80;409;162;307;95
testy\neg-los\68.400-80;409;162;307;95
testy\neg-los\68.400-80;409;162;307;95
testy\neg-los\68.400-80;409;162;307;95
testy\neg-los\68.400-80;409;162;307;95
testy\neg-los\9.200-40;209;132;147;91
testy\neg-los\9.200-40;209;108;147;91
testy\neg-los\9.200-40;209;97;147;91
testy\neg-los\9.200-40;209;95;147;91
testy\neg-los\9.200-40;209;95;147;91
testy\neg-los\9.200-40;209;95;147;91
testy\neg-los\9.200-40;209;95;147;91
testy\neg-los\9.200-40;209;95;147;91
testy\neg-los\9.200-40;209;95;147;91
testy\neg-los\9.200-40;209;95;147;91
testy\neg-los\9.200-80;209;150;117;97
testy\neg-los\9.200-80;209;124;119;99
testy\neg-los\9.200-80;209;124;119;99
testy\neg-los\9.200-80;209;124;119;99
testy\neg-los\9.200-80;209;124;119;99
testy\neg-los\9.200-80;209;124;119;99
testy\neg-los\9.200-80;209;124;119;99
testy\neg-los\9.200-80;209;124;119;99
testy\neg-los\9.200-80;209;124;119;99
testy\neg-los\9.200-80;209;124;119;99

